run_id,start_time,case,sequence,units,cypher_cost_ms,http_cost_ms,status,cypher_statement
20260623_094517_61460,2026-06-23 09:45:18,single_report,1,1,16.057,25.159,success,"CREATE (inDs:dataset {\n  gid: 1782179117000001001,\n  id: ""ds_in_1782179117000001"",\n  namespace: ""perf"",\n  name: ""table_in_1782179117000001"",\n  current_version: ""dv_in_1782179117000001"",\n  created_at: 1782179118130,\n  updated_at: 1782179118130,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782179117000001002,\n  id: ""dv_in_1782179117000001"",\n  dataset_uuid: ""ds_in_1782179117000001"",\n  facets: ""{}"",\n  created_at: 1782179118130,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782179117000001003,\n  id: ""ds_out_1782179117000001"",\n  namespace: ""perf"",\n  name: ""table_out_1782179117000001"",\n  current_version: ""dv_out_1782179117000001"",\n  created_at: 1782179118130,\n  updated_at: 1782179118130,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782179117000001004,\n  id: ""dv_out_1782179117000001"",\n  dataset_uuid: ""ds_out_1782179117000001"",\n  facets: ""{}"",\n  created_at: 1782179118130,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782179117000001005,\n  id: ""job_1782179117000001"",\n  namespace: ""perf"",\n  name: ""job_1782179117000001"",\n  current_version: ""jv_1782179117000001"",\n  current_run: ""run_1782179117000001"",\n  created_at: 1782179118130,\n  updated_at: 1782179118130,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782179117000001006,\n  id: ""jv_1782179117000001"",\n  job_uuid: ""job_1782179117000001"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782179117000001007,\n  id: ""run_1782179117000001"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782179118130,\n  updated_at: 1782179118130,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782179117000001""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782179118130}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782179118130}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782179118130}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782179118130}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782179118130}]->(run)\nCREATE (run)-[:produces {created_at: 1782179118130}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_094517_61460,2026-06-23 09:45:18,single_report,2,1,2.483,6.794,success,"CREATE (inDs:dataset {\n  gid: 1782179117000002001,\n  id: ""ds_in_1782179117000002"",\n  namespace: ""perf"",\n  name: ""table_in_1782179117000002"",\n  current_version: ""dv_in_1782179117000002"",\n  created_at: 1782179118241,\n  updated_at: 1782179118241,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782179117000002002,\n  id: ""dv_in_1782179117000002"",\n  dataset_uuid: ""ds_in_1782179117000002"",\n  facets: ""{}"",\n  created_at: 1782179118241,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782179117000002003,\n  id: ""ds_out_1782179117000002"",\n  namespace: ""perf"",\n  name: ""table_out_1782179117000002"",\n  current_version: ""dv_out_1782179117000002"",\n  created_at: 1782179118241,\n  updated_at: 1782179118241,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782179117000002004,\n  id: ""dv_out_1782179117000002"",\n  dataset_uuid: ""ds_out_1782179117000002"",\n  facets: ""{}"",\n  created_at: 1782179118241,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782179117000002005,\n  id: ""job_1782179117000002"",\n  namespace: ""perf"",\n  name: ""job_1782179117000002"",\n  current_version: ""jv_1782179117000002"",\n  current_run: ""run_1782179117000002"",\n  created_at: 1782179118241,\n  updated_at: 1782179118241,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782179117000002006,\n  id: ""jv_1782179117000002"",\n  job_uuid: ""job_1782179117000002"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782179117000002007,\n  id: ""run_1782179117000002"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782179118241,\n  updated_at: 1782179118241,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782179117000002""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782179118241}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782179118241}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782179118241}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782179118241}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782179118241}]->(run)\nCREATE (run)-[:produces {created_at: 1782179118241}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_094517_61460,2026-06-23 09:45:18,single_report,3,1,6.171,14.098,success,"CREATE (inDs:dataset {\n  gid: 1782179117000003001,\n  id: ""ds_in_1782179117000003"",\n  namespace: ""perf"",\n  name: ""table_in_1782179117000003"",\n  current_version: ""dv_in_1782179117000003"",\n  created_at: 1782179118327,\n  updated_at: 1782179118327,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782179117000003002,\n  id: ""dv_in_1782179117000003"",\n  dataset_uuid: ""ds_in_1782179117000003"",\n  facets: ""{}"",\n  created_at: 1782179118327,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782179117000003003,\n  id: ""ds_out_1782179117000003"",\n  namespace: ""perf"",\n  name: ""table_out_1782179117000003"",\n  current_version: ""dv_out_1782179117000003"",\n  created_at: 1782179118327,\n  updated_at: 1782179118327,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782179117000003004,\n  id: ""dv_out_1782179117000003"",\n  dataset_uuid: ""ds_out_1782179117000003"",\n  facets: ""{}"",\n  created_at: 1782179118327,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782179117000003005,\n  id: ""job_1782179117000003"",\n  namespace: ""perf"",\n  name: ""job_1782179117000003"",\n  current_version: ""jv_1782179117000003"",\n  current_run: ""run_1782179117000003"",\n  created_at: 1782179118327,\n  updated_at: 1782179118327,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782179117000003006,\n  id: ""jv_1782179117000003"",\n  job_uuid: ""job_1782179117000003"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782179117000003007,\n  id: ""run_1782179117000003"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782179118327,\n  updated_at: 1782179118327,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782179117000003""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782179118327}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782179118327}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782179118327}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782179118327}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782179118327}]->(run)\nCREATE (run)-[:produces {created_at: 1782179118327}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_094517_61460,2026-06-23 09:45:18,single_report,4,1,1.442,10.092,success,"CREATE (inDs:dataset {\n  gid: 1782179117000004001,\n  id: ""ds_in_1782179117000004"",\n  namespace: ""perf"",\n  name: ""table_in_1782179117000004"",\n  current_version: ""dv_in_1782179117000004"",\n  created_at: 1782179118419,\n  updated_at: 1782179118419,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782179117000004002,\n  id: ""dv_in_1782179117000004"",\n  dataset_uuid: ""ds_in_1782179117000004"",\n  facets: ""{}"",\n  created_at: 1782179118419,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782179117000004003,\n  id: ""ds_out_1782179117000004"",\n  namespace: ""perf"",\n  name: ""table_out_1782179117000004"",\n  current_version: ""dv_out_1782179117000004"",\n  created_at: 1782179118419,\n  updated_at: 1782179118419,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782179117000004004,\n  id: ""dv_out_1782179117000004"",\n  dataset_uuid: ""ds_out_1782179117000004"",\n  facets: ""{}"",\n  created_at: 1782179118419,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782179117000004005,\n  id: ""job_1782179117000004"",\n  namespace: ""perf"",\n  name: ""job_1782179117000004"",\n  current_version: ""jv_1782179117000004"",\n  current_run: ""run_1782179117000004"",\n  created_at: 1782179118419,\n  updated_at: 1782179118419,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782179117000004006,\n  id: ""jv_1782179117000004"",\n  job_uuid: ""job_1782179117000004"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782179117000004007,\n  id: ""run_1782179117000004"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782179118419,\n  updated_at: 1782179118419,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782179117000004""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782179118419}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782179118419}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782179118419}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782179118419}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782179118419}]->(run)\nCREATE (run)-[:produces {created_at: 1782179118419}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_094517_61460,2026-06-23 09:45:18,single_report,5,1,2.042,9.262,success,"CREATE (inDs:dataset {\n  gid: 1782179117000005001,\n  id: ""ds_in_1782179117000005"",\n  namespace: ""perf"",\n  name: ""table_in_1782179117000005"",\n  current_version: ""dv_in_1782179117000005"",\n  created_at: 1782179118509,\n  updated_at: 1782179118509,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782179117000005002,\n  id: ""dv_in_1782179117000005"",\n  dataset_uuid: ""ds_in_1782179117000005"",\n  facets: ""{}"",\n  created_at: 1782179118509,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782179117000005003,\n  id: ""ds_out_1782179117000005"",\n  namespace: ""perf"",\n  name: ""table_out_1782179117000005"",\n  current_version: ""dv_out_1782179117000005"",\n  created_at: 1782179118509,\n  updated_at: 1782179118509,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782179117000005004,\n  id: ""dv_out_1782179117000005"",\n  dataset_uuid: ""ds_out_1782179117000005"",\n  facets: ""{}"",\n  created_at: 1782179118509,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782179117000005005,\n  id: ""job_1782179117000005"",\n  namespace: ""perf"",\n  name: ""job_1782179117000005"",\n  current_version: ""jv_1782179117000005"",\n  current_run: ""run_1782179117000005"",\n  created_at: 1782179118509,\n  updated_at: 1782179118509,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782179117000005006,\n  id: ""jv_1782179117000005"",\n  job_uuid: ""job_1782179117000005"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782179117000005007,\n  id: ""run_1782179117000005"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782179118509,\n  updated_at: 1782179118509,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782179117000005""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782179118509}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782179118509}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782179118509}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782179118509}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782179118509}]->(run)\nCREATE (run)-[:produces {created_at: 1782179118509}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_094517_61460,2026-06-23 09:45:18,single_report,6,1,4.802,11.249,success,"CREATE (inDs:dataset {\n  gid: 1782179117000006001,\n  id: ""ds_in_1782179117000006"",\n  namespace: ""perf"",\n  name: ""table_in_1782179117000006"",\n  current_version: ""dv_in_1782179117000006"",\n  created_at: 1782179118597,\n  updated_at: 1782179118597,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782179117000006002,\n  id: ""dv_in_1782179117000006"",\n  dataset_uuid: ""ds_in_1782179117000006"",\n  facets: ""{}"",\n  created_at: 1782179118597,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782179117000006003,\n  id: ""ds_out_1782179117000006"",\n  namespace: ""perf"",\n  name: ""table_out_1782179117000006"",\n  current_version: ""dv_out_1782179117000006"",\n  created_at: 1782179118597,\n  updated_at: 1782179118597,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782179117000006004,\n  id: ""dv_out_1782179117000006"",\n  dataset_uuid: ""ds_out_1782179117000006"",\n  facets: ""{}"",\n  created_at: 1782179118597,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782179117000006005,\n  id: ""job_1782179117000006"",\n  namespace: ""perf"",\n  name: ""job_1782179117000006"",\n  current_version: ""jv_1782179117000006"",\n  current_run: ""run_1782179117000006"",\n  created_at: 1782179118597,\n  updated_at: 1782179118597,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782179117000006006,\n  id: ""jv_1782179117000006"",\n  job_uuid: ""job_1782179117000006"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782179117000006007,\n  id: ""run_1782179117000006"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782179118597,\n  updated_at: 1782179118597,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782179117000006""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782179118597}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782179118597}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782179118597}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782179118597}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782179118597}]->(run)\nCREATE (run)-[:produces {created_at: 1782179118597}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_094517_61460,2026-06-23 09:45:18,single_report,7,1,3.247,10.317,success,"CREATE (inDs:dataset {\n  gid: 1782179117000007001,\n  id: ""ds_in_1782179117000007"",\n  namespace: ""perf"",\n  name: ""table_in_1782179117000007"",\n  current_version: ""dv_in_1782179117000007"",\n  created_at: 1782179118688,\n  updated_at: 1782179118688,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782179117000007002,\n  id: ""dv_in_1782179117000007"",\n  dataset_uuid: ""ds_in_1782179117000007"",\n  facets: ""{}"",\n  created_at: 1782179118688,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782179117000007003,\n  id: ""ds_out_1782179117000007"",\n  namespace: ""perf"",\n  name: ""table_out_1782179117000007"",\n  current_version: ""dv_out_1782179117000007"",\n  created_at: 1782179118688,\n  updated_at: 1782179118688,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782179117000007004,\n  id: ""dv_out_1782179117000007"",\n  dataset_uuid: ""ds_out_1782179117000007"",\n  facets: ""{}"",\n  created_at: 1782179118688,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782179117000007005,\n  id: ""job_1782179117000007"",\n  namespace: ""perf"",\n  name: ""job_1782179117000007"",\n  current_version: ""jv_1782179117000007"",\n  current_run: ""run_1782179117000007"",\n  created_at: 1782179118688,\n  updated_at: 1782179118688,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782179117000007006,\n  id: ""jv_1782179117000007"",\n  job_uuid: ""job_1782179117000007"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782179117000007007,\n  id: ""run_1782179117000007"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782179118688,\n  updated_at: 1782179118688,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782179117000007""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782179118688}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782179118688}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782179118688}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782179118688}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782179118688}]->(run)\nCREATE (run)-[:produces {created_at: 1782179118688}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_094517_61460,2026-06-23 09:45:18,single_report,8,1,1.733,9.680,success,"CREATE (inDs:dataset {\n  gid: 1782179117000008001,\n  id: ""ds_in_1782179117000008"",\n  namespace: ""perf"",\n  name: ""table_in_1782179117000008"",\n  current_version: ""dv_in_1782179117000008"",\n  created_at: 1782179118777,\n  updated_at: 1782179118777,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782179117000008002,\n  id: ""dv_in_1782179117000008"",\n  dataset_uuid: ""ds_in_1782179117000008"",\n  facets: ""{}"",\n  created_at: 1782179118777,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782179117000008003,\n  id: ""ds_out_1782179117000008"",\n  namespace: ""perf"",\n  name: ""table_out_1782179117000008"",\n  current_version: ""dv_out_1782179117000008"",\n  created_at: 1782179118777,\n  updated_at: 1782179118777,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782179117000008004,\n  id: ""dv_out_1782179117000008"",\n  dataset_uuid: ""ds_out_1782179117000008"",\n  facets: ""{}"",\n  created_at: 1782179118777,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782179117000008005,\n  id: ""job_1782179117000008"",\n  namespace: ""perf"",\n  name: ""job_1782179117000008"",\n  current_version: ""jv_1782179117000008"",\n  current_run: ""run_1782179117000008"",\n  created_at: 1782179118777,\n  updated_at: 1782179118777,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782179117000008006,\n  id: ""jv_1782179117000008"",\n  job_uuid: ""job_1782179117000008"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782179117000008007,\n  id: ""run_1782179117000008"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782179118777,\n  updated_at: 1782179118777,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782179117000008""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782179118777}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782179118777}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782179118777}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782179118777}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782179118777}]->(run)\nCREATE (run)-[:produces {created_at: 1782179118777}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_094517_61460,2026-06-23 09:45:18,single_report,9,1,6.782,13.519,success,"CREATE (inDs:dataset {\n  gid: 1782179117000009001,\n  id: ""ds_in_1782179117000009"",\n  namespace: ""perf"",\n  name: ""table_in_1782179117000009"",\n  current_version: ""dv_in_1782179117000009"",\n  created_at: 1782179118866,\n  updated_at: 1782179118866,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782179117000009002,\n  id: ""dv_in_1782179117000009"",\n  dataset_uuid: ""ds_in_1782179117000009"",\n  facets: ""{}"",\n  created_at: 1782179118866,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782179117000009003,\n  id: ""ds_out_1782179117000009"",\n  namespace: ""perf"",\n  name: ""table_out_1782179117000009"",\n  current_version: ""dv_out_1782179117000009"",\n  created_at: 1782179118866,\n  updated_at: 1782179118866,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782179117000009004,\n  id: ""dv_out_1782179117000009"",\n  dataset_uuid: ""ds_out_1782179117000009"",\n  facets: ""{}"",\n  created_at: 1782179118866,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782179117000009005,\n  id: ""job_1782179117000009"",\n  namespace: ""perf"",\n  name: ""job_1782179117000009"",\n  current_version: ""jv_1782179117000009"",\n  current_run: ""run_1782179117000009"",\n  created_at: 1782179118866,\n  updated_at: 1782179118866,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782179117000009006,\n  id: ""jv_1782179117000009"",\n  job_uuid: ""job_1782179117000009"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782179117000009007,\n  id: ""run_1782179117000009"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782179118866,\n  updated_at: 1782179118866,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782179117000009""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782179118866}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782179118866}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782179118866}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782179118866}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782179118866}]->(run)\nCREATE (run)-[:produces {created_at: 1782179118866}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_094517_61460,2026-06-23 09:45:18,single_report,10,1,1.466,8.573,success,"CREATE (inDs:dataset {\n  gid: 1782179117000010001,\n  id: ""ds_in_1782179117000010"",\n  namespace: ""perf"",\n  name: ""table_in_1782179117000010"",\n  current_version: ""dv_in_1782179117000010"",\n  created_at: 1782179118959,\n  updated_at: 1782179118959,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782179117000010002,\n  id: ""dv_in_1782179117000010"",\n  dataset_uuid: ""ds_in_1782179117000010"",\n  facets: ""{}"",\n  created_at: 1782179118959,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782179117000010003,\n  id: ""ds_out_1782179117000010"",\n  namespace: ""perf"",\n  name: ""table_out_1782179117000010"",\n  current_version: ""dv_out_1782179117000010"",\n  created_at: 1782179118959,\n  updated_at: 1782179118959,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782179117000010004,\n  id: ""dv_out_1782179117000010"",\n  dataset_uuid: ""ds_out_1782179117000010"",\n  facets: ""{}"",\n  created_at: 1782179118959,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782179117000010005,\n  id: ""job_1782179117000010"",\n  namespace: ""perf"",\n  name: ""job_1782179117000010"",\n  current_version: ""jv_1782179117000010"",\n  current_run: ""run_1782179117000010"",\n  created_at: 1782179118959,\n  updated_at: 1782179118959,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782179117000010006,\n  id: ""jv_1782179117000010"",\n  job_uuid: ""job_1782179117000010"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782179117000010007,\n  id: ""run_1782179117000010"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782179118959,\n  updated_at: 1782179118959,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782179117000010""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782179118959}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782179118959}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782179118959}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782179118959}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782179118959}]->(run)\nCREATE (run)-[:produces {created_at: 1782179118959}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
