run_id,start_time,case,sequence,units,cypher_cost_ms,http_cost_ms,status
20260622_221532_8191,2026-06-22 22:15:32,single_report,1,1,6.308,15.062,success
20260622_221532_8191,2026-06-22 22:15:32,single_report,2,1,4.239,11.563,success
20260622_221532_8191,2026-06-22 22:15:32,single_report,3,1,6.200,15.644,success
20260622_221532_8191,2026-06-22 22:15:33,single_report,4,1,3.229,10.701,success
20260622_221532_8191,2026-06-22 22:15:33,single_report,5,1,2.842,7.908,success
20260622_221532_8191,2026-06-22 22:15:33,single_report,6,1,2.337,6.736,success
20260622_221532_8191,2026-06-22 22:15:33,single_report,7,1,2.334,7.152,success
20260622_221532_8191,2026-06-22 22:15:33,single_report,8,1,1.981,6.466,success
20260622_221532_8191,2026-06-22 22:15:33,single_report,9,1,3.111,10.502,success
20260622_221532_8191,2026-06-22 22:15:33,single_report,10,1,2.068,9.497,success
20260622_221532_8191,2026-06-22 22:15:33,concurrent_report,6,1,2.316,11.573,success
20260622_221532_8191,2026-06-22 22:15:33,concurrent_report,1,1,4.642,14.590,success
20260622_221532_8191,2026-06-22 22:15:33,concurrent_report,11,1,6.805,16.548,success
20260622_221532_8191,2026-06-22 22:15:33,concurrent_report,16,1,8.597,18.447,success
20260622_221532_8191,2026-06-22 22:15:33,concurrent_report,12,1,5.918,15.554,success
20260622_221532_8191,2026-06-22 22:15:33,concurrent_report,17,1,4.376,17.408,success
20260622_221532_8191,2026-06-22 22:15:33,concurrent_report,7,1,6.619,19.510,success
20260622_221532_8191,2026-06-22 22:15:33,concurrent_report,2,1,8.028,23.069,success
20260622_221532_8191,2026-06-22 22:15:33,concurrent_report,8,1,2.893,11.175,success
20260622_221532_8191,2026-06-22 22:15:33,concurrent_report,3,1,4.674,11.869,success
20260622_221532_8191,2026-06-22 22:15:33,concurrent_report,13,1,6.609,15.270,success
20260622_221532_8191,2026-06-22 22:15:33,concurrent_report,18,1,9.910,18.906,success
20260622_221532_8191,2026-06-22 22:15:34,concurrent_report,9,1,3.670,11.076,success
20260622_221532_8191,2026-06-22 22:15:34,concurrent_report,4,1,5.867,13.670,success
20260622_221532_8191,2026-06-22 22:15:34,concurrent_report,14,1,7.271,15.945,success
20260622_221532_8191,2026-06-22 22:15:34,concurrent_report,19,1,8.182,13.291,success
