run_id,start_time,case,sequence,units,cypher_cost_ms,http_cost_ms,status,cypher_statement
20260622_222013_14890,2026-06-22 22:20:14,single_report,1,1,9.749,17.078,success,"CREATE (inDs:dataset {\n  gid: 1782138013000001001,\n  id: ""ds_in_1782138013000001"",\n  namespace: ""perf"",\n  name: ""table_in_1782138013000001"",\n  current_version: ""dv_in_1782138013000001"",\n  created_at: 1782138014186,\n  updated_at: 1782138014186,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138013000001002,\n  id: ""dv_in_1782138013000001"",\n  dataset_uuid: ""ds_in_1782138013000001"",\n  facets: ""{}"",\n  created_at: 1782138014186,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138013000001003,\n  id: ""ds_out_1782138013000001"",\n  namespace: ""perf"",\n  name: ""table_out_1782138013000001"",\n  current_version: ""dv_out_1782138013000001"",\n  created_at: 1782138014186,\n  updated_at: 1782138014186,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138013000001004,\n  id: ""dv_out_1782138013000001"",\n  dataset_uuid: ""ds_out_1782138013000001"",\n  facets: ""{}"",\n  created_at: 1782138014186,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138013000001005,\n  id: ""job_1782138013000001"",\n  namespace: ""perf"",\n  name: ""job_1782138013000001"",\n  current_version: ""jv_1782138013000001"",\n  current_run: ""run_1782138013000001"",\n  created_at: 1782138014186,\n  updated_at: 1782138014186,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138013000001006,\n  id: ""jv_1782138013000001"",\n  job_uuid: ""job_1782138013000001"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138013000001007,\n  id: ""run_1782138013000001"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138014186,\n  updated_at: 1782138014186,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138013000001""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138014186}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138014186}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138014186}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138014186}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138014186}]->(run)\nCREATE (run)-[:produces {created_at: 1782138014186}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222013_14890,2026-06-22 22:20:14,single_report,2,1,3.274,8.517,success,"CREATE (inDs:dataset {\n  gid: 1782138013000002001,\n  id: ""ds_in_1782138013000002"",\n  namespace: ""perf"",\n  name: ""table_in_1782138013000002"",\n  current_version: ""dv_in_1782138013000002"",\n  created_at: 1782138014289,\n  updated_at: 1782138014289,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138013000002002,\n  id: ""dv_in_1782138013000002"",\n  dataset_uuid: ""ds_in_1782138013000002"",\n  facets: ""{}"",\n  created_at: 1782138014289,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138013000002003,\n  id: ""ds_out_1782138013000002"",\n  namespace: ""perf"",\n  name: ""table_out_1782138013000002"",\n  current_version: ""dv_out_1782138013000002"",\n  created_at: 1782138014289,\n  updated_at: 1782138014289,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138013000002004,\n  id: ""dv_out_1782138013000002"",\n  dataset_uuid: ""ds_out_1782138013000002"",\n  facets: ""{}"",\n  created_at: 1782138014289,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138013000002005,\n  id: ""job_1782138013000002"",\n  namespace: ""perf"",\n  name: ""job_1782138013000002"",\n  current_version: ""jv_1782138013000002"",\n  current_run: ""run_1782138013000002"",\n  created_at: 1782138014289,\n  updated_at: 1782138014289,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138013000002006,\n  id: ""jv_1782138013000002"",\n  job_uuid: ""job_1782138013000002"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138013000002007,\n  id: ""run_1782138013000002"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138014289,\n  updated_at: 1782138014289,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138013000002""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138014289}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138014289}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138014289}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138014289}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138014289}]->(run)\nCREATE (run)-[:produces {created_at: 1782138014289}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222013_14890,2026-06-22 22:20:14,single_report,3,1,4.520,19.747,success,"CREATE (inDs:dataset {\n  gid: 1782138013000003001,\n  id: ""ds_in_1782138013000003"",\n  namespace: ""perf"",\n  name: ""table_in_1782138013000003"",\n  current_version: ""dv_in_1782138013000003"",\n  created_at: 1782138014383,\n  updated_at: 1782138014383,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138013000003002,\n  id: ""dv_in_1782138013000003"",\n  dataset_uuid: ""ds_in_1782138013000003"",\n  facets: ""{}"",\n  created_at: 1782138014383,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138013000003003,\n  id: ""ds_out_1782138013000003"",\n  namespace: ""perf"",\n  name: ""table_out_1782138013000003"",\n  current_version: ""dv_out_1782138013000003"",\n  created_at: 1782138014383,\n  updated_at: 1782138014383,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138013000003004,\n  id: ""dv_out_1782138013000003"",\n  dataset_uuid: ""ds_out_1782138013000003"",\n  facets: ""{}"",\n  created_at: 1782138014383,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138013000003005,\n  id: ""job_1782138013000003"",\n  namespace: ""perf"",\n  name: ""job_1782138013000003"",\n  current_version: ""jv_1782138013000003"",\n  current_run: ""run_1782138013000003"",\n  created_at: 1782138014383,\n  updated_at: 1782138014383,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138013000003006,\n  id: ""jv_1782138013000003"",\n  job_uuid: ""job_1782138013000003"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138013000003007,\n  id: ""run_1782138013000003"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138014383,\n  updated_at: 1782138014383,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138013000003""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138014383}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138014383}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138014383}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138014383}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138014383}]->(run)\nCREATE (run)-[:produces {created_at: 1782138014383}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222013_14890,2026-06-22 22:20:14,single_report,4,1,3.207,11.550,success,"CREATE (inDs:dataset {\n  gid: 1782138013000004001,\n  id: ""ds_in_1782138013000004"",\n  namespace: ""perf"",\n  name: ""table_in_1782138013000004"",\n  current_version: ""dv_in_1782138013000004"",\n  created_at: 1782138014488,\n  updated_at: 1782138014488,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138013000004002,\n  id: ""dv_in_1782138013000004"",\n  dataset_uuid: ""ds_in_1782138013000004"",\n  facets: ""{}"",\n  created_at: 1782138014488,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138013000004003,\n  id: ""ds_out_1782138013000004"",\n  namespace: ""perf"",\n  name: ""table_out_1782138013000004"",\n  current_version: ""dv_out_1782138013000004"",\n  created_at: 1782138014488,\n  updated_at: 1782138014488,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138013000004004,\n  id: ""dv_out_1782138013000004"",\n  dataset_uuid: ""ds_out_1782138013000004"",\n  facets: ""{}"",\n  created_at: 1782138014488,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138013000004005,\n  id: ""job_1782138013000004"",\n  namespace: ""perf"",\n  name: ""job_1782138013000004"",\n  current_version: ""jv_1782138013000004"",\n  current_run: ""run_1782138013000004"",\n  created_at: 1782138014488,\n  updated_at: 1782138014488,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138013000004006,\n  id: ""jv_1782138013000004"",\n  job_uuid: ""job_1782138013000004"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138013000004007,\n  id: ""run_1782138013000004"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138014488,\n  updated_at: 1782138014488,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138013000004""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138014488}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138014488}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138014488}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138014488}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138014488}]->(run)\nCREATE (run)-[:produces {created_at: 1782138014488}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222013_14890,2026-06-22 22:20:14,single_report,5,1,2.841,10.901,success,"CREATE (inDs:dataset {\n  gid: 1782138013000005001,\n  id: ""ds_in_1782138013000005"",\n  namespace: ""perf"",\n  name: ""table_in_1782138013000005"",\n  current_version: ""dv_in_1782138013000005"",\n  created_at: 1782138014586,\n  updated_at: 1782138014586,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138013000005002,\n  id: ""dv_in_1782138013000005"",\n  dataset_uuid: ""ds_in_1782138013000005"",\n  facets: ""{}"",\n  created_at: 1782138014586,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138013000005003,\n  id: ""ds_out_1782138013000005"",\n  namespace: ""perf"",\n  name: ""table_out_1782138013000005"",\n  current_version: ""dv_out_1782138013000005"",\n  created_at: 1782138014586,\n  updated_at: 1782138014586,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138013000005004,\n  id: ""dv_out_1782138013000005"",\n  dataset_uuid: ""ds_out_1782138013000005"",\n  facets: ""{}"",\n  created_at: 1782138014586,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138013000005005,\n  id: ""job_1782138013000005"",\n  namespace: ""perf"",\n  name: ""job_1782138013000005"",\n  current_version: ""jv_1782138013000005"",\n  current_run: ""run_1782138013000005"",\n  created_at: 1782138014586,\n  updated_at: 1782138014586,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138013000005006,\n  id: ""jv_1782138013000005"",\n  job_uuid: ""job_1782138013000005"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138013000005007,\n  id: ""run_1782138013000005"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138014586,\n  updated_at: 1782138014586,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138013000005""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138014586}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138014586}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138014586}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138014586}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138014586}]->(run)\nCREATE (run)-[:produces {created_at: 1782138014586}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222013_14890,2026-06-22 22:20:14,single_report,6,1,2.220,9.657,success,"CREATE (inDs:dataset {\n  gid: 1782138013000006001,\n  id: ""ds_in_1782138013000006"",\n  namespace: ""perf"",\n  name: ""table_in_1782138013000006"",\n  current_version: ""dv_in_1782138013000006"",\n  created_at: 1782138014680,\n  updated_at: 1782138014680,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138013000006002,\n  id: ""dv_in_1782138013000006"",\n  dataset_uuid: ""ds_in_1782138013000006"",\n  facets: ""{}"",\n  created_at: 1782138014680,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138013000006003,\n  id: ""ds_out_1782138013000006"",\n  namespace: ""perf"",\n  name: ""table_out_1782138013000006"",\n  current_version: ""dv_out_1782138013000006"",\n  created_at: 1782138014680,\n  updated_at: 1782138014680,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138013000006004,\n  id: ""dv_out_1782138013000006"",\n  dataset_uuid: ""ds_out_1782138013000006"",\n  facets: ""{}"",\n  created_at: 1782138014680,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138013000006005,\n  id: ""job_1782138013000006"",\n  namespace: ""perf"",\n  name: ""job_1782138013000006"",\n  current_version: ""jv_1782138013000006"",\n  current_run: ""run_1782138013000006"",\n  created_at: 1782138014680,\n  updated_at: 1782138014680,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138013000006006,\n  id: ""jv_1782138013000006"",\n  job_uuid: ""job_1782138013000006"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138013000006007,\n  id: ""run_1782138013000006"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138014680,\n  updated_at: 1782138014680,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138013000006""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138014680}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138014680}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138014680}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138014680}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138014680}]->(run)\nCREATE (run)-[:produces {created_at: 1782138014680}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222013_14890,2026-06-22 22:20:14,single_report,7,1,2.501,10.711,success,"CREATE (inDs:dataset {\n  gid: 1782138013000007001,\n  id: ""ds_in_1782138013000007"",\n  namespace: ""perf"",\n  name: ""table_in_1782138013000007"",\n  current_version: ""dv_in_1782138013000007"",\n  created_at: 1782138014777,\n  updated_at: 1782138014777,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138013000007002,\n  id: ""dv_in_1782138013000007"",\n  dataset_uuid: ""ds_in_1782138013000007"",\n  facets: ""{}"",\n  created_at: 1782138014777,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138013000007003,\n  id: ""ds_out_1782138013000007"",\n  namespace: ""perf"",\n  name: ""table_out_1782138013000007"",\n  current_version: ""dv_out_1782138013000007"",\n  created_at: 1782138014777,\n  updated_at: 1782138014777,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138013000007004,\n  id: ""dv_out_1782138013000007"",\n  dataset_uuid: ""ds_out_1782138013000007"",\n  facets: ""{}"",\n  created_at: 1782138014777,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138013000007005,\n  id: ""job_1782138013000007"",\n  namespace: ""perf"",\n  name: ""job_1782138013000007"",\n  current_version: ""jv_1782138013000007"",\n  current_run: ""run_1782138013000007"",\n  created_at: 1782138014777,\n  updated_at: 1782138014777,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138013000007006,\n  id: ""jv_1782138013000007"",\n  job_uuid: ""job_1782138013000007"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138013000007007,\n  id: ""run_1782138013000007"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138014777,\n  updated_at: 1782138014777,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138013000007""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138014777}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138014777}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138014777}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138014777}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138014777}]->(run)\nCREATE (run)-[:produces {created_at: 1782138014777}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222013_14890,2026-06-22 22:20:14,single_report,8,1,3.289,11.479,success,"CREATE (inDs:dataset {\n  gid: 1782138013000008001,\n  id: ""ds_in_1782138013000008"",\n  namespace: ""perf"",\n  name: ""table_in_1782138013000008"",\n  current_version: ""dv_in_1782138013000008"",\n  created_at: 1782138014873,\n  updated_at: 1782138014873,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138013000008002,\n  id: ""dv_in_1782138013000008"",\n  dataset_uuid: ""ds_in_1782138013000008"",\n  facets: ""{}"",\n  created_at: 1782138014873,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138013000008003,\n  id: ""ds_out_1782138013000008"",\n  namespace: ""perf"",\n  name: ""table_out_1782138013000008"",\n  current_version: ""dv_out_1782138013000008"",\n  created_at: 1782138014873,\n  updated_at: 1782138014873,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138013000008004,\n  id: ""dv_out_1782138013000008"",\n  dataset_uuid: ""ds_out_1782138013000008"",\n  facets: ""{}"",\n  created_at: 1782138014873,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138013000008005,\n  id: ""job_1782138013000008"",\n  namespace: ""perf"",\n  name: ""job_1782138013000008"",\n  current_version: ""jv_1782138013000008"",\n  current_run: ""run_1782138013000008"",\n  created_at: 1782138014873,\n  updated_at: 1782138014873,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138013000008006,\n  id: ""jv_1782138013000008"",\n  job_uuid: ""job_1782138013000008"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138013000008007,\n  id: ""run_1782138013000008"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138014873,\n  updated_at: 1782138014873,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138013000008""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138014873}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138014873}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138014873}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138014873}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138014873}]->(run)\nCREATE (run)-[:produces {created_at: 1782138014873}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222013_14890,2026-06-22 22:20:14,single_report,9,1,2.805,11.091,success,"CREATE (inDs:dataset {\n  gid: 1782138013000009001,\n  id: ""ds_in_1782138013000009"",\n  namespace: ""perf"",\n  name: ""table_in_1782138013000009"",\n  current_version: ""dv_in_1782138013000009"",\n  created_at: 1782138014971,\n  updated_at: 1782138014971,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138013000009002,\n  id: ""dv_in_1782138013000009"",\n  dataset_uuid: ""ds_in_1782138013000009"",\n  facets: ""{}"",\n  created_at: 1782138014971,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138013000009003,\n  id: ""ds_out_1782138013000009"",\n  namespace: ""perf"",\n  name: ""table_out_1782138013000009"",\n  current_version: ""dv_out_1782138013000009"",\n  created_at: 1782138014971,\n  updated_at: 1782138014971,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138013000009004,\n  id: ""dv_out_1782138013000009"",\n  dataset_uuid: ""ds_out_1782138013000009"",\n  facets: ""{}"",\n  created_at: 1782138014971,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138013000009005,\n  id: ""job_1782138013000009"",\n  namespace: ""perf"",\n  name: ""job_1782138013000009"",\n  current_version: ""jv_1782138013000009"",\n  current_run: ""run_1782138013000009"",\n  created_at: 1782138014971,\n  updated_at: 1782138014971,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138013000009006,\n  id: ""jv_1782138013000009"",\n  job_uuid: ""job_1782138013000009"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138013000009007,\n  id: ""run_1782138013000009"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138014971,\n  updated_at: 1782138014971,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138013000009""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138014971}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138014971}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138014971}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138014971}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138014971}]->(run)\nCREATE (run)-[:produces {created_at: 1782138014971}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222013_14890,2026-06-22 22:20:15,single_report,10,1,2.400,9.962,success,"CREATE (inDs:dataset {\n  gid: 1782138013000010001,\n  id: ""ds_in_1782138013000010"",\n  namespace: ""perf"",\n  name: ""table_in_1782138013000010"",\n  current_version: ""dv_in_1782138013000010"",\n  created_at: 1782138015068,\n  updated_at: 1782138015068,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138013000010002,\n  id: ""dv_in_1782138013000010"",\n  dataset_uuid: ""ds_in_1782138013000010"",\n  facets: ""{}"",\n  created_at: 1782138015068,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138013000010003,\n  id: ""ds_out_1782138013000010"",\n  namespace: ""perf"",\n  name: ""table_out_1782138013000010"",\n  current_version: ""dv_out_1782138013000010"",\n  created_at: 1782138015068,\n  updated_at: 1782138015068,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138013000010004,\n  id: ""dv_out_1782138013000010"",\n  dataset_uuid: ""ds_out_1782138013000010"",\n  facets: ""{}"",\n  created_at: 1782138015068,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138013000010005,\n  id: ""job_1782138013000010"",\n  namespace: ""perf"",\n  name: ""job_1782138013000010"",\n  current_version: ""jv_1782138013000010"",\n  current_run: ""run_1782138013000010"",\n  created_at: 1782138015068,\n  updated_at: 1782138015068,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138013000010006,\n  id: ""jv_1782138013000010"",\n  job_uuid: ""job_1782138013000010"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138013000010007,\n  id: ""run_1782138013000010"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138015068,\n  updated_at: 1782138015068,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138013000010""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138015068}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138015068}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138015068}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138015068}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138015068}]->(run)\nCREATE (run)-[:produces {created_at: 1782138015068}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
