run_id,start_time,case,sequence,units,cypher_cost_ms,http_cost_ms,status,cypher_statement
20260622_222835_21023,2026-06-22 22:28:35,single_report,1,1,10.113,25.793,success,"CREATE (inDs:dataset {\n  gid: 1782138515000001001,\n  id: ""ds_in_1782138515000001"",\n  namespace: ""perf"",\n  name: ""table_in_1782138515000001"",\n  current_version: ""dv_in_1782138515000001"",\n  created_at: 1782138515797,\n  updated_at: 1782138515797,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138515000001002,\n  id: ""dv_in_1782138515000001"",\n  dataset_uuid: ""ds_in_1782138515000001"",\n  facets: ""{}"",\n  created_at: 1782138515797,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138515000001003,\n  id: ""ds_out_1782138515000001"",\n  namespace: ""perf"",\n  name: ""table_out_1782138515000001"",\n  current_version: ""dv_out_1782138515000001"",\n  created_at: 1782138515797,\n  updated_at: 1782138515797,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138515000001004,\n  id: ""dv_out_1782138515000001"",\n  dataset_uuid: ""ds_out_1782138515000001"",\n  facets: ""{}"",\n  created_at: 1782138515797,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138515000001005,\n  id: ""job_1782138515000001"",\n  namespace: ""perf"",\n  name: ""job_1782138515000001"",\n  current_version: ""jv_1782138515000001"",\n  current_run: ""run_1782138515000001"",\n  created_at: 1782138515797,\n  updated_at: 1782138515797,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138515000001006,\n  id: ""jv_1782138515000001"",\n  job_uuid: ""job_1782138515000001"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138515000001007,\n  id: ""run_1782138515000001"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138515797,\n  updated_at: 1782138515797,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138515000001""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138515797}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138515797}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138515797}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138515797}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138515797}]->(run)\nCREATE (run)-[:produces {created_at: 1782138515797}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222835_21023,2026-06-22 22:28:35,single_report,2,1,6.138,14.661,success,"CREATE (inDs:dataset {\n  gid: 1782138515000002001,\n  id: ""ds_in_1782138515000002"",\n  namespace: ""perf"",\n  name: ""table_in_1782138515000002"",\n  current_version: ""dv_in_1782138515000002"",\n  created_at: 1782138515916,\n  updated_at: 1782138515916,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138515000002002,\n  id: ""dv_in_1782138515000002"",\n  dataset_uuid: ""ds_in_1782138515000002"",\n  facets: ""{}"",\n  created_at: 1782138515916,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138515000002003,\n  id: ""ds_out_1782138515000002"",\n  namespace: ""perf"",\n  name: ""table_out_1782138515000002"",\n  current_version: ""dv_out_1782138515000002"",\n  created_at: 1782138515916,\n  updated_at: 1782138515916,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138515000002004,\n  id: ""dv_out_1782138515000002"",\n  dataset_uuid: ""ds_out_1782138515000002"",\n  facets: ""{}"",\n  created_at: 1782138515916,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138515000002005,\n  id: ""job_1782138515000002"",\n  namespace: ""perf"",\n  name: ""job_1782138515000002"",\n  current_version: ""jv_1782138515000002"",\n  current_run: ""run_1782138515000002"",\n  created_at: 1782138515916,\n  updated_at: 1782138515916,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138515000002006,\n  id: ""jv_1782138515000002"",\n  job_uuid: ""job_1782138515000002"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138515000002007,\n  id: ""run_1782138515000002"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138515916,\n  updated_at: 1782138515916,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138515000002""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138515916}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138515916}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138515916}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138515916}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138515916}]->(run)\nCREATE (run)-[:produces {created_at: 1782138515916}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222835_21023,2026-06-22 22:28:36,single_report,3,1,4.468,13.105,success,"CREATE (inDs:dataset {\n  gid: 1782138515000003001,\n  id: ""ds_in_1782138515000003"",\n  namespace: ""perf"",\n  name: ""table_in_1782138515000003"",\n  current_version: ""dv_in_1782138515000003"",\n  created_at: 1782138516024,\n  updated_at: 1782138516024,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138515000003002,\n  id: ""dv_in_1782138515000003"",\n  dataset_uuid: ""ds_in_1782138515000003"",\n  facets: ""{}"",\n  created_at: 1782138516024,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138515000003003,\n  id: ""ds_out_1782138515000003"",\n  namespace: ""perf"",\n  name: ""table_out_1782138515000003"",\n  current_version: ""dv_out_1782138515000003"",\n  created_at: 1782138516024,\n  updated_at: 1782138516024,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138515000003004,\n  id: ""dv_out_1782138515000003"",\n  dataset_uuid: ""ds_out_1782138515000003"",\n  facets: ""{}"",\n  created_at: 1782138516024,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138515000003005,\n  id: ""job_1782138515000003"",\n  namespace: ""perf"",\n  name: ""job_1782138515000003"",\n  current_version: ""jv_1782138515000003"",\n  current_run: ""run_1782138515000003"",\n  created_at: 1782138516024,\n  updated_at: 1782138516024,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138515000003006,\n  id: ""jv_1782138515000003"",\n  job_uuid: ""job_1782138515000003"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138515000003007,\n  id: ""run_1782138515000003"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138516024,\n  updated_at: 1782138516024,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138515000003""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138516024}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138516024}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138516024}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138516024}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138516024}]->(run)\nCREATE (run)-[:produces {created_at: 1782138516024}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222835_21023,2026-06-22 22:28:36,single_report,4,1,2.871,10.603,success,"CREATE (inDs:dataset {\n  gid: 1782138515000004001,\n  id: ""ds_in_1782138515000004"",\n  namespace: ""perf"",\n  name: ""table_in_1782138515000004"",\n  current_version: ""dv_in_1782138515000004"",\n  created_at: 1782138516133,\n  updated_at: 1782138516133,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138515000004002,\n  id: ""dv_in_1782138515000004"",\n  dataset_uuid: ""ds_in_1782138515000004"",\n  facets: ""{}"",\n  created_at: 1782138516133,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138515000004003,\n  id: ""ds_out_1782138515000004"",\n  namespace: ""perf"",\n  name: ""table_out_1782138515000004"",\n  current_version: ""dv_out_1782138515000004"",\n  created_at: 1782138516133,\n  updated_at: 1782138516133,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138515000004004,\n  id: ""dv_out_1782138515000004"",\n  dataset_uuid: ""ds_out_1782138515000004"",\n  facets: ""{}"",\n  created_at: 1782138516133,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138515000004005,\n  id: ""job_1782138515000004"",\n  namespace: ""perf"",\n  name: ""job_1782138515000004"",\n  current_version: ""jv_1782138515000004"",\n  current_run: ""run_1782138515000004"",\n  created_at: 1782138516133,\n  updated_at: 1782138516133,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138515000004006,\n  id: ""jv_1782138515000004"",\n  job_uuid: ""job_1782138515000004"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138515000004007,\n  id: ""run_1782138515000004"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138516133,\n  updated_at: 1782138516133,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138515000004""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138516133}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138516133}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138516133}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138516133}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138516133}]->(run)\nCREATE (run)-[:produces {created_at: 1782138516133}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222835_21023,2026-06-22 22:28:36,single_report,5,1,2.136,16.204,success,"CREATE (inDs:dataset {\n  gid: 1782138515000005001,\n  id: ""ds_in_1782138515000005"",\n  namespace: ""perf"",\n  name: ""table_in_1782138515000005"",\n  current_version: ""dv_in_1782138515000005"",\n  created_at: 1782138516248,\n  updated_at: 1782138516248,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138515000005002,\n  id: ""dv_in_1782138515000005"",\n  dataset_uuid: ""ds_in_1782138515000005"",\n  facets: ""{}"",\n  created_at: 1782138516248,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138515000005003,\n  id: ""ds_out_1782138515000005"",\n  namespace: ""perf"",\n  name: ""table_out_1782138515000005"",\n  current_version: ""dv_out_1782138515000005"",\n  created_at: 1782138516248,\n  updated_at: 1782138516248,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138515000005004,\n  id: ""dv_out_1782138515000005"",\n  dataset_uuid: ""ds_out_1782138515000005"",\n  facets: ""{}"",\n  created_at: 1782138516248,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138515000005005,\n  id: ""job_1782138515000005"",\n  namespace: ""perf"",\n  name: ""job_1782138515000005"",\n  current_version: ""jv_1782138515000005"",\n  current_run: ""run_1782138515000005"",\n  created_at: 1782138516248,\n  updated_at: 1782138516248,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138515000005006,\n  id: ""jv_1782138515000005"",\n  job_uuid: ""job_1782138515000005"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138515000005007,\n  id: ""run_1782138515000005"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138516248,\n  updated_at: 1782138516248,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138515000005""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138516248}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138516248}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138516248}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138516248}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138516248}]->(run)\nCREATE (run)-[:produces {created_at: 1782138516248}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222835_21023,2026-06-22 22:28:36,single_report,6,1,6.302,16.644,success,"CREATE (inDs:dataset {\n  gid: 1782138515000006001,\n  id: ""ds_in_1782138515000006"",\n  namespace: ""perf"",\n  name: ""table_in_1782138515000006"",\n  current_version: ""dv_in_1782138515000006"",\n  created_at: 1782138516367,\n  updated_at: 1782138516367,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138515000006002,\n  id: ""dv_in_1782138515000006"",\n  dataset_uuid: ""ds_in_1782138515000006"",\n  facets: ""{}"",\n  created_at: 1782138516367,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138515000006003,\n  id: ""ds_out_1782138515000006"",\n  namespace: ""perf"",\n  name: ""table_out_1782138515000006"",\n  current_version: ""dv_out_1782138515000006"",\n  created_at: 1782138516367,\n  updated_at: 1782138516367,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138515000006004,\n  id: ""dv_out_1782138515000006"",\n  dataset_uuid: ""ds_out_1782138515000006"",\n  facets: ""{}"",\n  created_at: 1782138516367,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138515000006005,\n  id: ""job_1782138515000006"",\n  namespace: ""perf"",\n  name: ""job_1782138515000006"",\n  current_version: ""jv_1782138515000006"",\n  current_run: ""run_1782138515000006"",\n  created_at: 1782138516367,\n  updated_at: 1782138516367,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138515000006006,\n  id: ""jv_1782138515000006"",\n  job_uuid: ""job_1782138515000006"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138515000006007,\n  id: ""run_1782138515000006"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138516367,\n  updated_at: 1782138516367,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138515000006""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138516367}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138516367}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138516367}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138516367}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138516367}]->(run)\nCREATE (run)-[:produces {created_at: 1782138516367}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222835_21023,2026-06-22 22:28:36,single_report,7,1,2.817,17.509,success,"CREATE (inDs:dataset {\n  gid: 1782138515000007001,\n  id: ""ds_in_1782138515000007"",\n  namespace: ""perf"",\n  name: ""table_in_1782138515000007"",\n  current_version: ""dv_in_1782138515000007"",\n  created_at: 1782138516475,\n  updated_at: 1782138516475,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138515000007002,\n  id: ""dv_in_1782138515000007"",\n  dataset_uuid: ""ds_in_1782138515000007"",\n  facets: ""{}"",\n  created_at: 1782138516475,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138515000007003,\n  id: ""ds_out_1782138515000007"",\n  namespace: ""perf"",\n  name: ""table_out_1782138515000007"",\n  current_version: ""dv_out_1782138515000007"",\n  created_at: 1782138516475,\n  updated_at: 1782138516475,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138515000007004,\n  id: ""dv_out_1782138515000007"",\n  dataset_uuid: ""ds_out_1782138515000007"",\n  facets: ""{}"",\n  created_at: 1782138516475,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138515000007005,\n  id: ""job_1782138515000007"",\n  namespace: ""perf"",\n  name: ""job_1782138515000007"",\n  current_version: ""jv_1782138515000007"",\n  current_run: ""run_1782138515000007"",\n  created_at: 1782138516475,\n  updated_at: 1782138516475,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138515000007006,\n  id: ""jv_1782138515000007"",\n  job_uuid: ""job_1782138515000007"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138515000007007,\n  id: ""run_1782138515000007"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138516475,\n  updated_at: 1782138516475,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138515000007""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138516475}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138516475}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138516475}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138516475}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138516475}]->(run)\nCREATE (run)-[:produces {created_at: 1782138516475}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222835_21023,2026-06-22 22:28:36,single_report,8,1,3.427,8.742,success,"CREATE (inDs:dataset {\n  gid: 1782138515000008001,\n  id: ""ds_in_1782138515000008"",\n  namespace: ""perf"",\n  name: ""table_in_1782138515000008"",\n  current_version: ""dv_in_1782138515000008"",\n  created_at: 1782138516587,\n  updated_at: 1782138516587,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138515000008002,\n  id: ""dv_in_1782138515000008"",\n  dataset_uuid: ""ds_in_1782138515000008"",\n  facets: ""{}"",\n  created_at: 1782138516587,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138515000008003,\n  id: ""ds_out_1782138515000008"",\n  namespace: ""perf"",\n  name: ""table_out_1782138515000008"",\n  current_version: ""dv_out_1782138515000008"",\n  created_at: 1782138516587,\n  updated_at: 1782138516587,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138515000008004,\n  id: ""dv_out_1782138515000008"",\n  dataset_uuid: ""ds_out_1782138515000008"",\n  facets: ""{}"",\n  created_at: 1782138516587,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138515000008005,\n  id: ""job_1782138515000008"",\n  namespace: ""perf"",\n  name: ""job_1782138515000008"",\n  current_version: ""jv_1782138515000008"",\n  current_run: ""run_1782138515000008"",\n  created_at: 1782138516587,\n  updated_at: 1782138516587,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138515000008006,\n  id: ""jv_1782138515000008"",\n  job_uuid: ""job_1782138515000008"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138515000008007,\n  id: ""run_1782138515000008"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138516587,\n  updated_at: 1782138516587,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138515000008""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138516587}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138516587}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138516587}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138516587}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138516587}]->(run)\nCREATE (run)-[:produces {created_at: 1782138516587}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222835_21023,2026-06-22 22:28:36,single_report,9,1,4.272,17.731,success,"CREATE (inDs:dataset {\n  gid: 1782138515000009001,\n  id: ""ds_in_1782138515000009"",\n  namespace: ""perf"",\n  name: ""table_in_1782138515000009"",\n  current_version: ""dv_in_1782138515000009"",\n  created_at: 1782138516704,\n  updated_at: 1782138516704,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138515000009002,\n  id: ""dv_in_1782138515000009"",\n  dataset_uuid: ""ds_in_1782138515000009"",\n  facets: ""{}"",\n  created_at: 1782138516704,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138515000009003,\n  id: ""ds_out_1782138515000009"",\n  namespace: ""perf"",\n  name: ""table_out_1782138515000009"",\n  current_version: ""dv_out_1782138515000009"",\n  created_at: 1782138516704,\n  updated_at: 1782138516704,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138515000009004,\n  id: ""dv_out_1782138515000009"",\n  dataset_uuid: ""ds_out_1782138515000009"",\n  facets: ""{}"",\n  created_at: 1782138516704,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138515000009005,\n  id: ""job_1782138515000009"",\n  namespace: ""perf"",\n  name: ""job_1782138515000009"",\n  current_version: ""jv_1782138515000009"",\n  current_run: ""run_1782138515000009"",\n  created_at: 1782138516704,\n  updated_at: 1782138516704,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138515000009006,\n  id: ""jv_1782138515000009"",\n  job_uuid: ""job_1782138515000009"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138515000009007,\n  id: ""run_1782138515000009"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138516704,\n  updated_at: 1782138516704,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138515000009""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138516704}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138516704}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138516704}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138516704}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138516704}]->(run)\nCREATE (run)-[:produces {created_at: 1782138516704}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260622_222835_21023,2026-06-22 22:28:36,single_report,10,1,2.598,8.753,success,"CREATE (inDs:dataset {\n  gid: 1782138515000010001,\n  id: ""ds_in_1782138515000010"",\n  namespace: ""perf"",\n  name: ""table_in_1782138515000010"",\n  current_version: ""dv_in_1782138515000010"",\n  created_at: 1782138516821,\n  updated_at: 1782138516821,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782138515000010002,\n  id: ""dv_in_1782138515000010"",\n  dataset_uuid: ""ds_in_1782138515000010"",\n  facets: ""{}"",\n  created_at: 1782138516821,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782138515000010003,\n  id: ""ds_out_1782138515000010"",\n  namespace: ""perf"",\n  name: ""table_out_1782138515000010"",\n  current_version: ""dv_out_1782138515000010"",\n  created_at: 1782138516821,\n  updated_at: 1782138516821,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782138515000010004,\n  id: ""dv_out_1782138515000010"",\n  dataset_uuid: ""ds_out_1782138515000010"",\n  facets: ""{}"",\n  created_at: 1782138516821,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782138515000010005,\n  id: ""job_1782138515000010"",\n  namespace: ""perf"",\n  name: ""job_1782138515000010"",\n  current_version: ""jv_1782138515000010"",\n  current_run: ""run_1782138515000010"",\n  created_at: 1782138516821,\n  updated_at: 1782138516821,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782138515000010006,\n  id: ""jv_1782138515000010"",\n  job_uuid: ""job_1782138515000010"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782138515000010007,\n  id: ""run_1782138515000010"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782138516821,\n  updated_at: 1782138516821,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782138515000010""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782138516821}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782138516821}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782138516821}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782138516821}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782138516821}]->(run)\nCREATE (run)-[:produces {created_at: 1782138516821}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
