run_id,start_time,phase,case,sequence,units,db_elapsed_ms,http_total_ms,client_overhead_ms,status,cypher_statement
20260623_212919_22192,2026-06-23 21:29:19,write_single_report,single_report,1,1,9.496,14.638,5.142,success,"CREATE (inDs:dataset {\n  gid: 1782221359000001001,\n  id: ""ds_in_1782221359000001"",\n  namespace: ""perf"",\n  name: ""table_in_1782221359000001"",\n  current_version: ""dv_in_1782221359000001"",\n  created_at: 1782221359917,\n  updated_at: 1782221359917,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782221359000001002,\n  id: ""dv_in_1782221359000001"",\n  dataset_uuid: ""ds_in_1782221359000001"",\n  facets: ""{}"",\n  created_at: 1782221359917,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782221359000001003,\n  id: ""ds_out_1782221359000001"",\n  namespace: ""perf"",\n  name: ""table_out_1782221359000001"",\n  current_version: ""dv_out_1782221359000001"",\n  created_at: 1782221359917,\n  updated_at: 1782221359917,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782221359000001004,\n  id: ""dv_out_1782221359000001"",\n  dataset_uuid: ""ds_out_1782221359000001"",\n  facets: ""{}"",\n  created_at: 1782221359917,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782221359000001005,\n  id: ""job_1782221359000001"",\n  namespace: ""perf"",\n  name: ""job_1782221359000001"",\n  current_version: ""jv_1782221359000001"",\n  current_run: ""run_1782221359000001"",\n  created_at: 1782221359917,\n  updated_at: 1782221359917,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782221359000001006,\n  id: ""jv_1782221359000001"",\n  job_uuid: ""job_1782221359000001"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782221359000001007,\n  id: ""run_1782221359000001"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782221359917,\n  updated_at: 1782221359917,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782221359000001""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782221359917}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782221359917}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782221359917}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782221359917}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782221359917}]->(run)\nCREATE (run)-[:produces {created_at: 1782221359917}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_212919_22192,2026-06-23 21:29:20,write_concurrent_single_report,concurrent_single_report,100001,1,8.561,13.951,5.390,success,"CREATE (inDs:dataset {\n  gid: 1782221359100001001,\n  id: ""ds_in_1782221359100001"",\n  namespace: ""perf"",\n  name: ""table_in_1782221359100001"",\n  current_version: ""dv_in_1782221359100001"",\n  created_at: 1782221360093,\n  updated_at: 1782221360093,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782221359100001002,\n  id: ""dv_in_1782221359100001"",\n  dataset_uuid: ""ds_in_1782221359100001"",\n  facets: ""{}"",\n  created_at: 1782221360093,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782221359100001003,\n  id: ""ds_out_1782221359100001"",\n  namespace: ""perf"",\n  name: ""table_out_1782221359100001"",\n  current_version: ""dv_out_1782221359100001"",\n  created_at: 1782221360093,\n  updated_at: 1782221360093,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782221359100001004,\n  id: ""dv_out_1782221359100001"",\n  dataset_uuid: ""ds_out_1782221359100001"",\n  facets: ""{}"",\n  created_at: 1782221360093,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782221359100001005,\n  id: ""job_1782221359100001"",\n  namespace: ""perf"",\n  name: ""job_1782221359100001"",\n  current_version: ""jv_1782221359100001"",\n  current_run: ""run_1782221359100001"",\n  created_at: 1782221360093,\n  updated_at: 1782221360093,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782221359100001006,\n  id: ""jv_1782221359100001"",\n  job_uuid: ""job_1782221359100001"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782221359100001007,\n  id: ""run_1782221359100001"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782221360093,\n  updated_at: 1782221360093,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782221359100001""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782221360093}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782221360093}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782221360093}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782221360093}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782221360093}]->(run)\nCREATE (run)-[:produces {created_at: 1782221360093}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_212919_22192,2026-06-23 21:29:20,write_concurrent_single_report,concurrent_single_report,105001,1,14.383,19.706,5.323,success,"CREATE (inDs:dataset {\n  gid: 1782221359105001001,\n  id: ""ds_in_1782221359105001"",\n  namespace: ""perf"",\n  name: ""table_in_1782221359105001"",\n  current_version: ""dv_in_1782221359105001"",\n  created_at: 1782221360093,\n  updated_at: 1782221360093,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782221359105001002,\n  id: ""dv_in_1782221359105001"",\n  dataset_uuid: ""ds_in_1782221359105001"",\n  facets: ""{}"",\n  created_at: 1782221360093,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782221359105001003,\n  id: ""ds_out_1782221359105001"",\n  namespace: ""perf"",\n  name: ""table_out_1782221359105001"",\n  current_version: ""dv_out_1782221359105001"",\n  created_at: 1782221360093,\n  updated_at: 1782221360093,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782221359105001004,\n  id: ""dv_out_1782221359105001"",\n  dataset_uuid: ""ds_out_1782221359105001"",\n  facets: ""{}"",\n  created_at: 1782221360093,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782221359105001005,\n  id: ""job_1782221359105001"",\n  namespace: ""perf"",\n  name: ""job_1782221359105001"",\n  current_version: ""jv_1782221359105001"",\n  current_run: ""run_1782221359105001"",\n  created_at: 1782221360093,\n  updated_at: 1782221360093,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782221359105001006,\n  id: ""jv_1782221359105001"",\n  job_uuid: ""job_1782221359105001"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782221359105001007,\n  id: ""run_1782221359105001"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782221360093,\n  updated_at: 1782221360093,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782221359105001""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782221360093}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782221360093}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782221360093}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782221360093}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782221360093}]->(run)\nCREATE (run)-[:produces {created_at: 1782221360093}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_212919_22192,2026-06-23 21:29:20,write_concurrent_single_report,concurrent_single_report,100002,1,2.792,7.402,4.610,success,"CREATE (inDs:dataset {\n  gid: 1782221359100002001,\n  id: ""ds_in_1782221359100002"",\n  namespace: ""perf"",\n  name: ""table_in_1782221359100002"",\n  current_version: ""dv_in_1782221359100002"",\n  created_at: 1782221360208,\n  updated_at: 1782221360208,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782221359100002002,\n  id: ""dv_in_1782221359100002"",\n  dataset_uuid: ""ds_in_1782221359100002"",\n  facets: ""{}"",\n  created_at: 1782221360208,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782221359100002003,\n  id: ""ds_out_1782221359100002"",\n  namespace: ""perf"",\n  name: ""table_out_1782221359100002"",\n  current_version: ""dv_out_1782221359100002"",\n  created_at: 1782221360208,\n  updated_at: 1782221360208,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782221359100002004,\n  id: ""dv_out_1782221359100002"",\n  dataset_uuid: ""ds_out_1782221359100002"",\n  facets: ""{}"",\n  created_at: 1782221360208,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782221359100002005,\n  id: ""job_1782221359100002"",\n  namespace: ""perf"",\n  name: ""job_1782221359100002"",\n  current_version: ""jv_1782221359100002"",\n  current_run: ""run_1782221359100002"",\n  created_at: 1782221360208,\n  updated_at: 1782221360208,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782221359100002006,\n  id: ""jv_1782221359100002"",\n  job_uuid: ""job_1782221359100002"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782221359100002007,\n  id: ""run_1782221359100002"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782221360208,\n  updated_at: 1782221360208,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782221359100002""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782221360208}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782221360208}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782221360208}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782221360208}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782221360208}]->(run)\nCREATE (run)-[:produces {created_at: 1782221360208}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_212919_22192,2026-06-23 21:29:20,write_concurrent_single_report,concurrent_single_report,105002,1,6.204,8.555,2.351,success,"CREATE (inDs:dataset {\n  gid: 1782221359105002001,\n  id: ""ds_in_1782221359105002"",\n  namespace: ""perf"",\n  name: ""table_in_1782221359105002"",\n  current_version: ""dv_in_1782221359105002"",\n  created_at: 1782221360213,\n  updated_at: 1782221360213,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782221359105002002,\n  id: ""dv_in_1782221359105002"",\n  dataset_uuid: ""ds_in_1782221359105002"",\n  facets: ""{}"",\n  created_at: 1782221360213,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782221359105002003,\n  id: ""ds_out_1782221359105002"",\n  namespace: ""perf"",\n  name: ""table_out_1782221359105002"",\n  current_version: ""dv_out_1782221359105002"",\n  created_at: 1782221360213,\n  updated_at: 1782221360213,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782221359105002004,\n  id: ""dv_out_1782221359105002"",\n  dataset_uuid: ""ds_out_1782221359105002"",\n  facets: ""{}"",\n  created_at: 1782221360213,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782221359105002005,\n  id: ""job_1782221359105002"",\n  namespace: ""perf"",\n  name: ""job_1782221359105002"",\n  current_version: ""jv_1782221359105002"",\n  current_run: ""run_1782221359105002"",\n  created_at: 1782221360213,\n  updated_at: 1782221360213,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782221359105002006,\n  id: ""jv_1782221359105002"",\n  job_uuid: ""job_1782221359105002"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782221359105002007,\n  id: ""run_1782221359105002"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782221360213,\n  updated_at: 1782221360213,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782221359105002""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782221360213}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782221360213}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782221360213}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782221360213}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782221360213}]->(run)\nCREATE (run)-[:produces {created_at: 1782221360213}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_212919_22192,2026-06-23 21:29:20,write_concurrent_single_report,concurrent_single_report,105003,1,3.518,8.777,5.259,success,"CREATE (inDs:dataset {\n  gid: 1782221359105003001,\n  id: ""ds_in_1782221359105003"",\n  namespace: ""perf"",\n  name: ""table_in_1782221359105003"",\n  current_version: ""dv_in_1782221359105003"",\n  created_at: 1782221360317,\n  updated_at: 1782221360317,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782221359105003002,\n  id: ""dv_in_1782221359105003"",\n  dataset_uuid: ""ds_in_1782221359105003"",\n  facets: ""{}"",\n  created_at: 1782221360317,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782221359105003003,\n  id: ""ds_out_1782221359105003"",\n  namespace: ""perf"",\n  name: ""table_out_1782221359105003"",\n  current_version: ""dv_out_1782221359105003"",\n  created_at: 1782221360317,\n  updated_at: 1782221360317,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782221359105003004,\n  id: ""dv_out_1782221359105003"",\n  dataset_uuid: ""ds_out_1782221359105003"",\n  facets: ""{}"",\n  created_at: 1782221360317,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782221359105003005,\n  id: ""job_1782221359105003"",\n  namespace: ""perf"",\n  name: ""job_1782221359105003"",\n  current_version: ""jv_1782221359105003"",\n  current_run: ""run_1782221359105003"",\n  created_at: 1782221360317,\n  updated_at: 1782221360317,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782221359105003006,\n  id: ""jv_1782221359105003"",\n  job_uuid: ""job_1782221359105003"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782221359105003007,\n  id: ""run_1782221359105003"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782221360317,\n  updated_at: 1782221360317,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782221359105003""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782221360317}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782221360317}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782221360317}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782221360317}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782221360317}]->(run)\nCREATE (run)-[:produces {created_at: 1782221360317}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_212919_22192,2026-06-23 21:29:20,write_concurrent_single_report,concurrent_single_report,100003,1,6.804,11.864,5.060,success,"CREATE (inDs:dataset {\n  gid: 1782221359100003001,\n  id: ""ds_in_1782221359100003"",\n  namespace: ""perf"",\n  name: ""table_in_1782221359100003"",\n  current_version: ""dv_in_1782221359100003"",\n  created_at: 1782221360316,\n  updated_at: 1782221360316,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782221359100003002,\n  id: ""dv_in_1782221359100003"",\n  dataset_uuid: ""ds_in_1782221359100003"",\n  facets: ""{}"",\n  created_at: 1782221360316,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782221359100003003,\n  id: ""ds_out_1782221359100003"",\n  namespace: ""perf"",\n  name: ""table_out_1782221359100003"",\n  current_version: ""dv_out_1782221359100003"",\n  created_at: 1782221360316,\n  updated_at: 1782221360316,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782221359100003004,\n  id: ""dv_out_1782221359100003"",\n  dataset_uuid: ""ds_out_1782221359100003"",\n  facets: ""{}"",\n  created_at: 1782221360316,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782221359100003005,\n  id: ""job_1782221359100003"",\n  namespace: ""perf"",\n  name: ""job_1782221359100003"",\n  current_version: ""jv_1782221359100003"",\n  current_run: ""run_1782221359100003"",\n  created_at: 1782221360316,\n  updated_at: 1782221360316,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782221359100003006,\n  id: ""jv_1782221359100003"",\n  job_uuid: ""job_1782221359100003"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782221359100003007,\n  id: ""run_1782221359100003"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782221360316,\n  updated_at: 1782221360316,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782221359100003""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782221360316}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782221360316}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782221360316}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782221360316}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782221360316}]->(run)\nCREATE (run)-[:produces {created_at: 1782221360316}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_212919_22192,2026-06-23 21:29:20,write_concurrent_single_report,concurrent_single_report,100004,1,5.357,11.502,6.145,success,"CREATE (inDs:dataset {\n  gid: 1782221359100004001,\n  id: ""ds_in_1782221359100004"",\n  namespace: ""perf"",\n  name: ""table_in_1782221359100004"",\n  current_version: ""dv_in_1782221359100004"",\n  created_at: 1782221360428,\n  updated_at: 1782221360428,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782221359100004002,\n  id: ""dv_in_1782221359100004"",\n  dataset_uuid: ""ds_in_1782221359100004"",\n  facets: ""{}"",\n  created_at: 1782221360428,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782221359100004003,\n  id: ""ds_out_1782221359100004"",\n  namespace: ""perf"",\n  name: ""table_out_1782221359100004"",\n  current_version: ""dv_out_1782221359100004"",\n  created_at: 1782221360428,\n  updated_at: 1782221360428,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782221359100004004,\n  id: ""dv_out_1782221359100004"",\n  dataset_uuid: ""ds_out_1782221359100004"",\n  facets: ""{}"",\n  created_at: 1782221360428,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782221359100004005,\n  id: ""job_1782221359100004"",\n  namespace: ""perf"",\n  name: ""job_1782221359100004"",\n  current_version: ""jv_1782221359100004"",\n  current_run: ""run_1782221359100004"",\n  created_at: 1782221360428,\n  updated_at: 1782221360428,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782221359100004006,\n  id: ""jv_1782221359100004"",\n  job_uuid: ""job_1782221359100004"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782221359100004007,\n  id: ""run_1782221359100004"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782221360428,\n  updated_at: 1782221360428,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782221359100004""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782221360428}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782221360428}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782221360428}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782221360428}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782221360428}]->(run)\nCREATE (run)-[:produces {created_at: 1782221360428}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_212919_22192,2026-06-23 21:29:20,write_concurrent_single_report,concurrent_single_report,105004,1,8.698,14.782,6.084,success,"CREATE (inDs:dataset {\n  gid: 1782221359105004001,\n  id: ""ds_in_1782221359105004"",\n  namespace: ""perf"",\n  name: ""table_in_1782221359105004"",\n  current_version: ""dv_in_1782221359105004"",\n  created_at: 1782221360428,\n  updated_at: 1782221360428,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782221359105004002,\n  id: ""dv_in_1782221359105004"",\n  dataset_uuid: ""ds_in_1782221359105004"",\n  facets: ""{}"",\n  created_at: 1782221360428,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782221359105004003,\n  id: ""ds_out_1782221359105004"",\n  namespace: ""perf"",\n  name: ""table_out_1782221359105004"",\n  current_version: ""dv_out_1782221359105004"",\n  created_at: 1782221360428,\n  updated_at: 1782221360428,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782221359105004004,\n  id: ""dv_out_1782221359105004"",\n  dataset_uuid: ""ds_out_1782221359105004"",\n  facets: ""{}"",\n  created_at: 1782221360428,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782221359105004005,\n  id: ""job_1782221359105004"",\n  namespace: ""perf"",\n  name: ""job_1782221359105004"",\n  current_version: ""jv_1782221359105004"",\n  current_run: ""run_1782221359105004"",\n  created_at: 1782221360428,\n  updated_at: 1782221360428,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782221359105004006,\n  id: ""jv_1782221359105004"",\n  job_uuid: ""job_1782221359105004"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782221359105004007,\n  id: ""run_1782221359105004"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782221360428,\n  updated_at: 1782221360428,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782221359105004""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782221360428}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782221360428}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782221360428}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782221360428}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782221360428}]->(run)\nCREATE (run)-[:produces {created_at: 1782221360428}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
20260623_212919_22192,2026-06-23 21:29:20,write_concurrent_single_report,concurrent_single_report,100005,1,4.256,9.993,5.737,success,"CREATE (inDs:dataset {\n  gid: 1782221359100005001,\n  id: ""ds_in_1782221359100005"",\n  namespace: ""perf"",\n  name: ""table_in_1782221359100005"",\n  current_version: ""dv_in_1782221359100005"",\n  created_at: 1782221360543,\n  updated_at: 1782221360543,\n  owner: ""perf_user""\n})\nCREATE (inDv:datasetversion {\n  gid: 1782221359100005002,\n  id: ""dv_in_1782221359100005"",\n  dataset_uuid: ""ds_in_1782221359100005"",\n  facets: ""{}"",\n  created_at: 1782221360543,\n  owner: ""perf_user""\n})\nCREATE (outDs:dataset {\n  gid: 1782221359100005003,\n  id: ""ds_out_1782221359100005"",\n  namespace: ""perf"",\n  name: ""table_out_1782221359100005"",\n  current_version: ""dv_out_1782221359100005"",\n  created_at: 1782221360543,\n  updated_at: 1782221360543,\n  owner: ""perf_user""\n})\nCREATE (outDv:datasetversion {\n  gid: 1782221359100005004,\n  id: ""dv_out_1782221359100005"",\n  dataset_uuid: ""ds_out_1782221359100005"",\n  facets: ""{}"",\n  created_at: 1782221360543,\n  owner: ""perf_user""\n})\nCREATE (job:job {\n  gid: 1782221359100005005,\n  id: ""job_1782221359100005"",\n  namespace: ""perf"",\n  name: ""job_1782221359100005"",\n  current_version: ""jv_1782221359100005"",\n  current_run: ""run_1782221359100005"",\n  created_at: 1782221360543,\n  updated_at: 1782221360543,\n  owner: ""perf_user""\n})\nCREATE (jv:jobversion {\n  gid: 1782221359100005006,\n  id: ""jv_1782221359100005"",\n  job_uuid: ""job_1782221359100005"",\n  facets: ""{}"",\n  owner: ""perf_user""\n})\nCREATE (run:jobrun {\n  gid: 1782221359100005007,\n  id: ""run_1782221359100005"",\n  state: ""SUCCESS"",\n  namespace: ""perf"",\n  facets: ""{}"",\n  created_at: 1782221360543,\n  updated_at: 1782221360543,\n  owner: ""perf_user"",\n  jobversion_id: ""jv_1782221359100005""\n})\nCREATE (inDs)-[:has_dversion {created_at: 1782221360543}]->(inDv)\nCREATE (outDs)-[:has_dversion {created_at: 1782221360543}]->(outDv)\nCREATE (job)-[:has_jversion {created_at: 1782221360543}]->(jv)\nCREATE (jv)-[:has_run {created_at: 1782221360543}]->(run)\nCREATE (inDv)-[:consumes_by {created_at: 1782221360543}]->(run)\nCREATE (run)-[:produces {created_at: 1782221360543}]->(outDv)\nCREATE (inDs)-[:lineage]->(job)\nCREATE (job)-[:lineage]->(outDs)\nRETURN run.id;"
